Sample_Name	Sample_Group	Type	R1	R2
MIAPACA2	MIAPACA2		https://raw.githubusercontent.com/roland-rad-lab/test-datasets/crispr-analysis/testdata/fastq/map_pair/MIAPACA2_R1_001.fastq.gz	https://raw.githubusercontent.com/roland-rad-lab/test-datasets/crispr-analysis/testdata/fastq/map_pair/MIAPACA2_R2_001.fastq.gz
CasRx_Pool	CasRx_Pool		https://raw.githubusercontent.com/roland-rad-lab/test-datasets/crispr-analysis/testdata/fastq/map_pair/CasRx_Pool_R1_001.fastq.gz	https://raw.githubusercontent.com/roland-rad-lab/test-datasets/crispr-analysis/testdata/fastq/map_pair/CasRx_Pool_R2_001.fastq.gz
